position,company,salary,city,work_years,education,desc,domain,stage,scale
数据分析师（流媒体方向）,快手招聘,20k-40k,北京,经验1-3年,本科及以上,职位描述：职位描述1、通过 A/B Test 等数据分析手段，持续分析和优化短视频/直播的播放体验2、通过数据分析挖掘，提出短视频/直播的播放体验的优化方向，提高用户体验以及优化流量成本3、通过对数据实时监控，及时发现异常，能够有效分析得出异常原因，提出优化方向任职要求1、2 年及以上数据分析相关经验2、对统计学、机器学习有较深理解，能够解决复杂的问题3、熟练使用 Excel、HQL、Python、R 等分析工具4、具有良好的沟通能力，快速的学习能力，以及逻辑思维能力5、对短视频/直播领域的产品、技术知识有一定了解优先,文娱丨内容,D轮及以上,2000人以上
数据建模,泰康在线招聘,25k-30k,北京,经验3-5年,本科及以上,"职位描述：工作职责:1.负责用户画像、用户推荐,场景化营销，核保核赔，信保的规则建模。2.参与“BigData/AI/IoT”保险解决方案的需求分析、业务场景创新、客户价值转化、业务价值分析、数学建模、BI/UX、汇报材料制作等工作；3.基于各种建模工具（R,SAS,SparkMlib,Python，Matlab,etc），分析挖掘客户转化规律，支持业务决策，提升客户转化率，分析互联网保险各类场景下的客户需求与投保风险；4.基于数据分析的基础，数据资源的挖掘、分析、展现，深度挖掘数据价值，建立模型，提升数据的商业应用价值任职资格:1.本科以上学历，熟悉数理统计分析理论、数据分析原理，掌握常见数据分析工具，5年以上工作经验；2.三年以上统计分析经验，熟练使用SAS/R/Python/Matlab等工具语言，有算法建模经验（LR、RF、GBDT、KernelSVM,Regression,AHP，HMM,TimeSeries），或人工智能和深度学习领域实际项目经验（NLP,CNN,GraphicModel）3.熟练进行数据清洗、数据处理、特征工程，并有实际项目经验4.精通SQL语言，熟悉主流面向对象语言（Java，.net等）5.具备互联网思维，并接纳互联网行业工作模式6.有金融行业经验，了解敏捷开发流程,有敏捷开发经验者优先","移动互联网,金融",不需要融资,500-2000人
大数据分析师,码上赢技术部招聘,10k-20k,北京,经验1-3年,本科及以上,职位描述：岗位职责:1、数据雷达业务：针对快消品牌商和连锁超市便利店的需求，运用数据挖掘与机器学习等技术进行探索性分析，为客户的业务决策提供数据支持2、内部BI：搭建经营分析和报表系统，为各个业务部门提供数据支持，并且结合公司业务对数据资源进行深度组合分析、数据挖掘等岗位要求:1、信息技术、数据挖掘、统计、数学等相关专业本科及以上学历(硕士优先)，2年以上相关工作经历；2、熟悉数据库和数据仓库基本原理，熟练运用SQL、Hive；3、熟悉数据分析与挖掘的基本原理，熟练使用Python数据分析库或R;4、具备快销行业（FMCG）数据分析经验者优先；5、具备良好的数据敏感度、需求分析能力和业务理解能力，能从海量数据中挖掘有价值的信息，并能够独立编写商业数据分析报告，以及给出业务建议；6、具备优秀的沟通协调能力和团队精神，较强的学习能力，能够承担一定的工作压力,"移动互联网,企业服务",A轮,创新工场，猎豹移动，58同城(A轮)
高级数据分析师,美图公司招聘,13k-26k,厦门,经验3-5年,本科及以上,职位描述：美图的数据科学团队是⼀个数据驱动决策的团队。我们正在寻找一位合格的具有大数据分析和技术经验的数据科学家或高级数据分析师。理想的候选人是数据驱动型的问题解决者，能够运用SQL分析大量数据，输出分析报告以推动业务决策，构建自动化数据模型，提供简单有效的可视化面板，以推动产品、用户或情景化理解。理想人选需要能够区分直觉和事实的区别，明白我们的工作是遏制我们的直觉，以便我们能够提供无偏见的、可以奠定公司业务基础的坚实事实。核心要求：-本科及以上学历，计算机、数学、统计学、工程学或其他相关专业学历；-丰富的SQL经验；-熟悉统计理论，包括假设检验和回归；-至少2年以上面向C端用户，能够处理庞大用户数据的互联网工作经验；-有使用数据可视化软件的经验，如Jupyter、Tableau、Looker、Google Datastudio等；-有批判性思维和创造性思维。加分项：-熟练掌握SQL；-精通任意一种编程语言，如Python、Java、Scala、R；-有Google Cloud Platform、Google Firebase、Google Analytics和BigQuery的使用经验。,硬件,上市公司,2000人以上
BI Analyst,斐珞尔IT招聘,13k-20k,上海,经验3-5年,本科及以上,职位描述：岗位职责：1.访谈和分析需求，能够适应需求不断演进，参与设计并落地相关的指标/报表；2.负责KPI核心指标体系的完善和持续跟踪，通过数据发现运营环节中的各种问题；3.建立各种业务逻辑的整理和文档化，帮助部门提升运营管理效率；4.支持各业务部门工作的深入开展，提供对重点业务问题的数据分析和洞见；  任职要求：1.3年以上工作经验，全日制统招本科及以上，计算机、通信工程、数学、电子工程、统计学等相关专业背景；2.至少使用并熟练一种BI工具(如Tableau、PowerBI、Qlikview、SSRS、Finereport、SmartBI等)；3.能熟练运用SQL查询和提取数据，有较好的SQL性能调优经验；4.有良好的业务理解能力，沟通交流能力与学习能力，乐于解决具有挑战性的问题；5.有电商运营相关工作经验的优先，有美妆行业营销经验的优先；6.良好的英语沟通能力。,"电商,消费生活",未融资,150-500人
数据分析主管,自如网运营管理中心流程管理部招聘,15k-25k,北京,经验3-5年,本科及以上,职位描述：工作内容：1、搭建流程运营监控指标体系；2、根据业务实际情况，搭建数据管理报表，并推动数据报表的产品化、工具化；3、通过数据对流程的运营情况进行监控，快速精准的发现问题，结合数据进行深入的业务分析，为管理层和业务部门提供有效的管理抓手；4、从数据和业务发展现状出发，寻找流程整体效率提升的优化点；5、针对业务流程现状，定期制作流程的分析报告。 任职要求：1、本科以上学历，2年以上业务运营管理、数据分析或流程运营经验，具备咨询公司组织、流程项目经验者优先；2、具备较强的数据分析能力，熟练使用Excel、sql、tableau等数据分析及可视化工具；3、对数据敏感，能从数据中发现问题，并输出解决策略；4、具备优秀的项目推动能力，逻辑表达能力，能够推动项目落地实现；5、具备较强的主动性、责任心、抗压能力和服务意识。,房产家居,A轮,2000人以上
数据分析经理,贝壳招聘,30k-50k,北京,经验5-10年,本科及以上,职位描述：工作职责:1、能够基于研究课题，有效提炼数据需求并完成数据采集、整理与入库；2、根据课题需求，通过数据提炼分析观点，撰写数据分析与可视化报告；3、带领团队探索新思路、新技术，不断提升团队数据分析能力。任职资格:1、具有深厚的数学、统计学功底和计算机相关知识，能够熟练使用SQL、R\Python、tableau等数据查询、统计分析和可视化工具，有数据抓取经验的优先；2、有极强的复杂问题的解决能力，能独立完成数据分析报告。,房产家居,D轮及以上,2000人以上
大数据分析师,建信金科招聘,16k-30k,北京,经验3-5年,本科及以上,职位描述：岗位职责：1、负责使用大数据和人工智能技术，分析政务、银行、交通等领域的数据，深入挖掘内外部用户需求，理解市场，设计数据应用产品，实现分析建模、报表汇总、成果展示、用户运营等功能；2、沟通协调项目进度，理清业务和技术的环节，与研发、运营团队紧密协作，推动数据产品落地实施，把控产品质量；任职资格：1、全日制大学本科及以上学历，信息科学类相关专业；2、具有数据使用能力、业务抽象理解能力、需求提炼能力以及项目协调管理能力； 3、熟练掌握SQL、Excel、Python等一种常用数据处理工具，有Axzure、Sketch、墨刀等原型设计软件的经验；4、有良好的逻辑思维能力，较强的沟通能力和团队合作精神，能承担工作压力；优先条件:1、有智慧政务、数字政府、智慧城市、智能投顾等领域项目经验者优先2、有分布式存储计算、数据挖掘、数据治理等项目经验者优先 ,"金融,软件开发",不需要融资,2000人以上
数据分析,音娱时光招聘,10k-18k,北京,经验1-3年,本科及以上,职位描述：职责描述：1.     完善业务数据监控体系，进行新功能指标埋点逻辑设计，搭建分析框架，使业务运营情况数据化呈现；2.     深入了解业务，基于数据监控及分析研究，发现业务中的问题，同时能够解构问题、分析问题，给出有效改善的建议，并能输出分析报告；3.     支持业务进行临时数据统计工作，并可从需求中提取业务目的，提高业务效率。4.     与技术部门密切协作，确保统计需求准确落地以及线上统计无异常。岗位要求：1.     本科及以上学历，数学、统计学、计算机科学等相关专业优先；2.     移动互联网公司至少1年工作经验，数据分析、BI等相关经验优先；3.     熟练使用 SQL 语言，熟练掌握 Excel、SAS、SPSS、R 等任一数据分析工具；4.     较强的沟通推进能力、清晰的表达能力、较强的独立思考能力；5.     自我成长欲望强。 ,移动互联网,A轮,50-150人
高级数据分析师-北京,美图公司招聘,15k-30k,北京,经验3-5年,本科及以上,职位描述：美图的数据科学团队是⼀个数据驱动决策的团队。我们正在寻找一位合格的具有大数据分析和技术经验的数据科学家或高级数据分析师。理想的候选人是数据驱动型的问题解决者，能够运用SQL分析大量数据，输出分析报告以推动业务决策，构建自动化数据模型，提供简单有效的可视化面板，以推动产品、用户或情景化理解。理想人选需要能够区分直觉和事实的区别，明白我们的工作是遏制我们的直觉，以便我们能够提供无偏见的、可以奠定公司业务基础的坚实事实。核心要求：-本科及以上学历，计算机、数学、统计学、工程学或其他相关专业学历；-丰富的SQL经验；-熟悉统计理论，包括假设检验和回归；-至少2年以上面向C端用户，能够处理庞大用户数据的互联网工作经验；-有使用数据可视化软件的经验，如Jupyter、Tableau、Looker、Google Datastudio等；-有批判性思维和创造性思维。加分项：-熟练掌握SQL；-精通任意一种编程语言，如Python、Java、Scala、R；-有Google Cloud Platform、Google Firebase、Google Analytics和BigQuery的使用经验。,硬件,上市公司,2000人以上
数据分析师,达达-京东到家招聘,20k-30k,北京,经验3-5年,本科及以上,"职位描述：职位职责：1、负责o2o电商日常运营数据的统计,监控,梳理指标体系；2、基于海量用户行为数据,挖掘不同业务场景下的数据洞察,发现运营中潜在的问题与机会,协助推进解决方案的落地和应用；3、深刻理解数据和业务的关系,进行各因素影响的量化分析,通过分析报告和数据结论驱动产品和运营的核心策略的制定和优化。职位要求：1、本科以上学历,数学,统计学,计算机等相关专业；2、精通SQL,Excel,R或python等工具和语言；3、具备很好的逻辑思维和数据思维能力,对数据和业务有足够的敏感性；4、良好的理解,沟通,表达,团队协作,跨部门协作能力；5、有互联网或电商行业经验优先。",消费生活,D轮及以上,2000人以上
资深数据分析师,贝壳招聘,35k-55k,北京,经验5-10年,本科及以上,职位描述：工作职责:1.根据业务需求，协助制定指标，梳理指标体系，设计数据埋点方案，并跟进落实;2.负责中心日常运营数据的统计、监控，并进行量化分析，定制化推送共性基础数据，实现常规报表的自动化；3.对产品数据进行例行监控，及时发现数据的异常波动，并通过深入分析了解其原因，定期输出相关数据分析报告；4.通过数据分析挖掘，分析功能使用场景、用户画像特征，发现潜在的缺陷与机会，为业务决策提供数据支撑；5.根据数据分析结论，推导解决方案，并推进方案应用落地。任职资格:1.本科及以上学历，数学、统计学、计算机等相关专业优先；2.有1年以上数据分析相关工作经验；3.熟练运用SQL，有python或R基础，有tableau相关工作经验优先；4.了解hadoop生态，Hive及相关hql，ETL等工作，熟悉数据仓库(DW)/商业智能(BI)的数据框架；5.拥有敏锐分析能力，严谨客观的分析态度，优秀的学习能力和沟通表达能力，能够快速熟悉业务，并对用户体验有敏锐的数据洞察力；6.性格稳重，良好的沟通能力，富有团队合作精神，抗压力强，对工作专注、投入。,房产家居,D轮及以上,2000人以上
数据分析,威斯科技招聘,20k-40k,上海,经验3-5年,本科及以上,职位描述：主要工作职负责埋点系统、ABtest系统的设计、推广。 日常业务数据分析，用户、内容标签体系建设等，另外承担部分数据开发工作任职要求1、本科及以上学历； 2、3年以上互联网企业数据分析及管理工作经验； 3、熟练掌握Hive/SQL，精通excel，掌握Python/R尤佳，熟悉互联网常见的分析工具和数据分析方法论，有丰富的统计、预测和建模的经验； 4、具有良好的产品敏感度和优秀的数据分析技能，业务理解能力强； 5、有较高的数据分析视野，开放心态，自驱力强。,移动互联网,未融资,50-150人
