position,company,salary,city,work_years,education,desc,domain,stage,scale
大数据分析平台研发工程师,美团点评招聘,25k-50k,北京,经验5-10年,本科及以上,职位描述：工作职责：全面参与美团大数据分析平台的架构设计和相关项目的研发工作。通过系统建设，降低业务分析数据的门槛，影响和提升业务对数据价值挖掘的能力和效率。能够深入理解业务，进行重点难点技术攻关工作，将技术实现与业务场景联系起来，快速解决业务需求问题。确保系统的架构质量，并能识别风险，保障系统的可用性。具备应急的技术处理能力。不断探索技术新领域，推动技术能力的沉淀和技术氛围的建设。专业要求：本科或以上学历，计算机或相关专业。编码基础和项目实践能力：有扎实的Java语言基础、软件工程基本功和强悍的编码能力。熟练掌握数据结构与算法，了解常用的开发框架（比如Spring、MyBatis），重视代码质量和代码风格，熟悉常用的版本控制工具（如Git）。2年以上大型分布式计算平台相关的经验。有一定的高并发、分布式、缓存实践经验。对稳定性、性能、扩展性有自己的理解和实践经验优先。3年以上软件工程管理经验。熟悉软件项目管理、敏捷管理方法论，在中大型项目中有所实践。熟练掌握关系数据库、NoSQL、内存数据库，熟悉SQL语言并有实际开发经验。大数据方向专业能力：对数据敏感，熟悉数据仓库和数据集市概念，具有ETL设计与开发、数据建模、数据质量保障、元数据管理、指标体系建设等项目实践经验优先。具有一定大数据平台设计、架构和研发经验，熟悉大数据至少2种相关系统，包括Hadoop、HBase、ZooKeeper、Spark、Hive、Kafka、Storm、Flink、ElasticSearch、Druid、Doris等，深入了解内部架构和技术细节，具有研发和定制优化能力者优先。有从0到1设计并实现PaaS化组件的能力者优先。通用能力和发展潜力：优秀的团队合作能力和沟通能力。抗压力强，有责任心，心态开放，思路清晰。技术视野开阔，有强烈的上进心和求知欲，对技术有不懈的追求，喜欢研究开源代码者优先。,消费生活,上市公司,2000人以上
大数据分析师,联创信息招聘,10k-18k,南京,经验3-5年,本科及以上,职位描述：岗位职责：1、负责客户端和门户核心数据指标和新产品功能的日志收集、指标定义、数据监控、数据异常分析      2、负责业务产品或算法建模效果数据分析，以统计分析，数据探索和预测建模等大数据分析技术，驱动业务的提升与优化3、及时响应产品、运营、市场或者BD的数据统计和分析需求4、参与和指导数据平台与分析工具的建设岗位要求：1、统计学或计算机相关专业本科以上学历，2年以上工作经验2、3年以上互联网数据分析相关经验，熟悉常用的数据建模方法如回归、聚类、关联分析等，熟练操作数据提取、处理和分析软件，如Python、R、SQLHql、Excel、SPSS等3、熟悉Java，精通SQL语言、熟悉主流大数据框架（Hadoop/Hive/Spark/RDB）4、具有快速学习和思考能力，优秀的商业分析能力、敏锐的数据洞察力、结构化思维能力,"移动互联网,教育",不需要融资,150-500人
数据分析师（中高级）,达达-京东到家招聘,15k-25k,上海,经验3-5年,本科及以上,职位描述：工作职责： 1、负责O2O业务的数据分析工作，挖掘数据分析需求，制定并实施分析方案，并根据数据分析结果为业务的改进提出合理化建议； 2、通过专题分析，对业务问题进行深入分析，为产品改进、大区运营决策、营销推广策略提供数据支持，推动业务部门数据驱动业务决策的转化；3、通过对公司运营数据研究，提出改善运营质量的方法和建议，搭建BI数据分析体系，为公司决策提供支持。任职资格： 1、统计、数学、信息技术相关专业本科以上学历，互联网3年以上数据分析/挖掘相关经验；2、熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题； 3、良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验； 4、思维敏捷，具有发散性，能够举一反三，良好的逻辑分析能力及问题解决能力；5、良好的跨团队、部门沟通及推动能力，有强烈的主人翁意识，积极发扬团队合作精神。,消费生活,D轮及以上,2000人以上
数据分析,舟恩信息技术服务部招聘,15k-20k,上海,经验3-5年,大专及以上,"职位描述：职责描述：1、数据监控和分析：理解业务逻辑、反作弊生态，及时察觉数据波动并深入分析原因，迅速定位业务异常和风险点，提供解决方案。2.数据决策支持：负责数据分析和风险评估，撰写专业分析报告，为决策者提供数据支持。3.数据驱动策略升级：通过分析数据提炼作弊特征，优化反作弊策略，推进反作弊体系建设。4.流程优化和改善：收集和分析交易风险案例，推进流程改善、风控策略升级。从数据分析中提炼出业务风险诊断指标，形成全面的指标体系，监控和升业务健康度。任职要求：1、统招本科以上学历，数学、统计学、计算机专业优先。2.3年以上数据分析经验，熟练使用Excel和SQL,熟悉R、Python、SPSS之一。3.熟悉电商业务，负责过反作弊分析项目并有价值产出者优先。具备优秀的逻辑分析能力，业务洞察力强。4.具备优秀的执行力、沟通能力、团队合作意识。",移动互联网,不需要融资,150-500人
大数据分析平台研发工程师,美团点评大数据与算法部招聘,35k-60k,北京,经验5-10年,本科及以上,职位描述：工作职责：1.全面参与美团大数据分析平台的架构设计和相关项目的研发工作；2.通过系统建设，降低业务分析数据的门槛，影响和提升业务对数据价值挖掘的能力和效率；3.能够深入理解业务，进行重点难点技术攻关工作，将技术实现与业务场景联系起来，快速解决业务需求问题；4.确保系统的架构质量，并能识别风险，保障系统的可用性；5.具备应急的技术处理能力；6.不断探索技术新领域，推动技术能力的沉淀和技术氛围的建设。【专业要求】本科或以上学历，计算机或相关专业；【编码基础和项目实践能力】1.有扎实的Java语言基础、软件工程基本功和强悍的编码能力；2.熟练掌握数据结构与算法，了解常用的开发框架（比如Spring、MyBatis），重视代码质量和代码风格，熟悉常用的版本控制工具（如Git）；3.2年以上大型分布式计算平台相关的经验。有一定的高并发、分布式、缓存实践经验。对稳定性、性能、扩展性有自己的理解和实践经验优先；4.3年以上软件工程管理经验。熟悉软件项目管理、敏捷管理方法论，在中大型项目中有所实践；5.熟练掌握关系数据库、NoSQL、内存数据库，熟悉SQL语言并有实际开发经验。【大数据方向专业能力】1.对数据敏感，熟悉数据仓库和数据集市概念，具有ETL设计与开发、数据建模、数据质量保障、元数据管理、指标体系建设等项目实践经验优先；2.具有一定大数据平台设计、架构和研发经验，熟悉大数据至少2种相关系统，包括Hadoop、HBase、ZooKeeper、Spark、Hive、Kafka、Storm、Flink、ElasticSearch、Druid、Doris等，深入了解内部架构和技术细节，具有研发和定制优化能力者优先；3.有从0到1设计并实现PaaS化组件的能力者优先。【通用能力和发展潜力】1.优秀的团队合作能力和沟通能力。抗压力强，有责任心，心态开放，思路清晰；2.技术视野开阔，有强烈的上进心和求知欲，对技术有不懈的追求，喜欢研究开源代码者优先。,消费生活,上市公司,2000人以上
数据分析,WPIC招聘,10k-15k,北京,经验1-3年,本科及以上,"职位描述：职责描述：1.调研工作以客户需求为主导；2.根据市场调研计划，进行市场信息的收集分析；3.对数据营销推广进行策略分析；4.各行业相关的电子商务分析；5.定期整理数据报告6.负责完成部门领导交办的其他工作。JobDuties:1.Theresearchworkisdominatedbycustomerneeds.2.Collectandanalyzemarketinformationaccordingtomarketresearchplan.3.Thestrategyanalysisofdatamarketingpromotion;4.Analysisofe-commercerelatedtovariousindustries;5.Regularcollationofdatareports6.ResponsibleforothertasksassignedbyDepartmentleaders.任职要求：1.专业不限，经济学、统计学优先2.熟练使用Office；3.有数据营销行业数据分析工作经验优先；4.对数字敏感，逻辑性强，责任心强；5.工作仔细认真，具较强的沟通协调能力和团队精神；6.自学能力强，有较强的工作主动性。1.Majorsareunlimitedandeconomicsandstatisticsarepreferred.2.ProficiencyinOffice;3.Experienceindataanalysisindatamarketingindustryispreferred.4.Besensitivetonumbers,logicalandresponsible.5.Workcarefullyandconscientiously,withstrongcommunicationandcoordinationabilityandteamspirit;6.Strongself-studyabilityandworkinitiative.","电商,软件开发",未融资,50-150人
大数据分析岗,招银网络科技数据中心招聘,20k-30k,深圳,经验1-3年,本科及以上,职位描述：职责描述：1.负责公司大数据平台整体解决方案规划、设计、开发和完善.2.制定数据库开发相关规范和流程，大数据平台实施相关文档编写.3.大数据相关新技术的研究和应用。任职要求：1.全日制本科及以上学历，2年以上相关工作经验；2.精通hadoop等开源产品和开源框架，熟悉开源大数据部署和实施；3.有较强的学习和抗压能力，工作积极主动，对技术有强烈的热情，热衷于新技术学习和应用；4.有海量数据处理经验；5.有保险、证券、银行等金融行业大数据库开发、实施经验优先；,金融,不需要融资,2000人以上
大数据分析师,大元互联电力事业部（天津）招聘,7k-14k,天津,经验1-3年,本科及以上,职位描述：岗位职责:1.熟悉一种记忆山的数据库操作，包括SQL脚本编写、脚本审查、优化的等；2.熟悉简单的数据分析、数据挖掘相关知识，可对模型进行简单调优；3.熟悉Python数据分析相关的代码编写；4.熟悉常用的NoSQLDB的架构设计、优化等；5.熟悉电力行业业务，具备该行业IT项目经验尤其数据类项目经验者优先；任职资格:1.熟悉国网营销数据模型，有参与大数据风控等项目经验优先；2.有良好的沟通能力，能对公司级领导进行工作汇报；3.有较好的文字编辑能力，熟悉国网系统的工作汇报文档编制；4.熟悉PPT和word等常用汇报工具；5.能做好跨部门，跨公司的沟通和协调工作；6.本岗位在国家电网公司驻场办公，介意者务投。,"数据服务,人工智能",不需要融资,50-150人
大数据分析师,大元互联电力事业部（国投）招聘,7k-14k,北京,经验1-3年,本科及以上,职位描述：岗位描述：1、熟悉常用的数据模型方法如回归、聚类、关联分析等，熟悉操作数据提取、处理和分析软件，SQLHql、Excel、R、SPSS等；2、对数据敏感、具备较强的数据分析能力、逻辑思考能力、沟通能力，有用户相关分析经验及建模经验优先；3、负责分析协助数据平台类产品开发、发现产品或业务的问题关键并可通过数据分析和内在联系，能独立解释数据分析结果并应用于实际业务中，为产品决策提供合理化建议；4、及时响应产品、运营、市场或者BD的数据统计和分析需求；任职资格：1、大专及以上学历，统计学、应用数学、计算机等相关专业，2年及以上相关工作经验，电力数据行业从业者优先；2、具有数据仓库、数据分析、数据挖掘理论知识，深入了解相关技术，具有海量数据挖掘项目实施和管理经验；3、责任心强，有良好的合作精神，沟通能力较强；4、国家电网直属单位驻场办公，介意者务投。,"数据服务,人工智能",不需要融资,50-150人
大数据分析工程师,万科招聘,25k-50k,深圳,经验5-10年,本科及以上,职位描述：岗位职责：1、承担公司资深大数据分析师角色，负责海量数据的深度挖掘与分析，牵头开展大数据模型研发相关工作；2、使用机器学习算法、对汇聚到大数据平台中的多源异构数据进行清洗、加工处理、统计分析、挖掘算法，构建有效且通用的数据分析模型，并协助开发实现模型到产品的转化；3、根据业务需求，定义数据分析及挖掘方向，对数据进行深度分析，并制作对应的数据报告；4、数据产品建设，将策略和运营需求转化为数据产品服务，提供需求分析，协助产品经理和开发完成数据产品的建设；5、优化现有算法，探索前沿算法和公司业务方向的数据主题模型。岗位要求：1、统计学、应用数学、计算机相关专业本科以上学历，有数据分析工作5年以上经验；2、熟悉Hadoop/Spark/Storm/Hive等大数据技术，熟悉Unix/Linux操作系统，熟悉掌握Shell或Perl等脚本工具，具有海量数据处理经验；熟悉各种数据可视化工具，具备基本编程能力、SQL和NoSQL数据库、Log分析；3、善于学习新知识，新领域；优秀的分析问题，解决问题能力；有项目执行能力，有海量数据平台构架经验优先；4、熟悉人工智能，物联网经验丰富优先，熟悉传统互联网及移动互联网行业发展优先；5、有智慧建筑、智慧城市、平安城市等大数据分析经验优先；6、有知名数据公司相关工作经历者优先。,房产家居,上市公司,2000人以上
大数据分析工程师,云南红岭云科技股份有限公司招聘,8k-15k,昆明,经验1-3年,本科及以上,职位描述：岗位职责1.大数据平台的调研、实施和维护，还有相应技术方案完善；数据处理流程的自动化方式实现；2.数据收集、预处理、特征提取、数据统计分析等工作；3.根据工作能力可进一步从事数据挖掘数据建模工作。  岗位要求1.**学历全日制统招本科及以上学历，计算机和数理相关专业；2.一年以上大数据类程序员工作经验并具有扎实的编程能力、计算机基础。熟悉Linux和Shell，熟练Python或R，会C、C++，会Java、Scala、SQL的一种或几种；使用过大数据平台，了解hadoop生态，如hadoop、storm、hive、spark、Kafka等，了解MySQL、Oracle等数据库；3.具有编程化思维方式，善于将人工实现转为自动化实现；能独立分析问题、解决问题；良好4.团队协作精神；具有良好的学习能力和热情；5.有ETL工作经验者优先考虑；6.有BI类、统计类软件使用经验者优先考虑；7.有人工智能、机器学习、自然语言处理等经验者优先考虑。  ,"数据服务,移动互联网",上市公司,50-150人
数据分析经理,自如网业主服务平台中心招聘,15k-30k,北京,经验5-10年,本科及以上,职位描述：工作职责：1.基于业务逻辑，建立业务数据模型，为团队提供反映产品和运营状况的数据报表；2.持续跟踪业务数据，监测业务发展态势，为业务指标异常提供预警、监测和解读；3.深入理解AB实验，熟悉评估AB实验的理论方法，推动基于AB实验的策略迭代；4.结合行业数据、业界观点和市场趋势，为长期业务发展方向提供战略层面的意见和建议。任职资格：1.对数据敏感，逻辑严谨，责任心强，工作主动自驱，沟通能力强；2.有互联网工作经验，对互联网产品和服务兴趣浓厚；3.受过统计学训练，了解基本的统计理论和常见的统计模型，有一定的数据库基础，熟练使用sql；4.熟练使用excel、R或Python等数据分析和统计分析工具；5.有数据建模、Abtest经验优先；统计、数学专业优先；以及编程能力较强者优先。,房产家居,A轮,2000人以上
大数据分析工程师/Java高工,一博科技信息安全部招聘,10k-20k,深圳,经验5-10年,本科及以上,职位描述：任职要求：1、本科及以上学历，5年以上工作经验，计算机类或统计类相关专业背景，在数据挖掘、机器学习、数据分析等某一领域有2年以上的算法、模型研发经验；2、有扎实的数据结构和算法功底，精通数据挖掘、机器学习、数据分析等理论和技术基础，熟练掌握数据分析和挖掘的流程与方法，能够独立进行数据建模和分析，产出数据分析报告；3、有良好的程序开发基础，精通Java、Python等语言，熟悉Hadoop、Spark、Storm、Flink等分布式计算平台；4、熟悉Linux或UNIX系统，掌握MYSQL等主流数据库，熟悉SQL以及SHELL脚本开发；5、良好的需求分析能力，细心、耐心、有很强的责任感，对产出的质量有高要求，执行力强，富有团队精神。岗位职责：1、根据部门业务、产品和运营的需求，设计数据分析\挖掘专题内容和分析框架；2、根据目标分析主题，独立搜集和清洗数据；4、进行数据分析和数据建模，负责模型的设计、开发、测试和维护，并对模型效果进行评估；5、制作数据分析报告；6、研究人工智能和数据挖掘领域的新技术、新算法，提出针对部门业务场景的实施方案，并负责验证；7、完成领导交办的其他工作（如数据采集、数据报表制作、指标梳理、数据提取、数据埋点设计、文档编写，等）。,硬件,未融资,500-2000人
大数据分析实习生-【流媒体】,快手招聘,3k-6k,北京,经验不限,本科及以上,职位描述：职位描述:1、通过A/BTest等数据分析手段，持续分析和优化短视频/直播的播放体验；2、通过数据分析挖掘，提出短视频/直播的播放体验的优化方向，提高用户体验以及优化流量成本；3、通过对数据实时监控，及时发现异常，能够有效分析得出异常原因，提出优化方向。任职要求:1、本科以上，数学、统计学等相关专业；2、对统计学、机器学习有较深理解，能够解决复杂的问题；3、熟练使用Excel、HQL、Python、R等分析工具；4、具有良好的沟通能力，快速的学习能力，以及逻辑思维能力；5、对短视频/直播领域的产品、技术知识有一定了解优先。,文娱丨内容,D轮及以上,2000人以上
大数据分析与挖掘工程师,顺丰-丰e足食招聘,18k-30k,深圳,经验3-5年,本科及以上,职位描述：工作职责1．根据业务或数据产品经理的需求实现对业务指标数据的采集、清洗、分析建模与计算、可视化展示，以及数据采集等支出业务的决策；2．参与数据分析平台的选型、部署、研发及维护等工作；3．不断完善和创新数据分析架构，不断应用和创新数据分析工具，提升各类数据分析报告质量。任职要求：1．3年以上数据分析、数据挖掘研发工作经验，211本科及以上学历，数学、统计、计算机类专业优先；2．精通SQL/Hive，熟悉mysql使用和性能优化，熟练运用R、Python、SPSS、SAS等至少一种语言，了解Tableau、Qlik等可视化工具，熟悉sqoop/kettle/informatica等ETL工具。有Hadoop、Spark等平台的海量数据处理经验优先；3．具备较强的数据敏感度，能结合产品团队的需求完成建模分析，熟练运用数据挖掘技术对数据进行分析处理；4．具备优秀的沟通协调能力和团队合作精神，自我驱动，有owner意识，交付能力强；跨团队与部门的沟通能力强，有较强的团队协作意识和能力；5．有互联网数据分析、零售店铺数据分析等工作经验优先。,"移动互联网,消费生活",上市公司,2000人以上
数据分析师,自如网资管中心招聘,15k-25k,北京,经验3-5年,本科及以上,"职位描述：【岗位职责】1.为公司运营决策、产品方向、业务策略等提供数据支持；2.维护、完善数据报表体系，及时、准确监控运营状况，并提供专业分析报告；3.通过数据来发现业务、流程中的问题、机会，从数据角度为业务部门提出相应的优化建议，并与多方合作实现流程改善,推动相关业务目标达成；4.沉淀分析思路与框架，提炼数据产品需求，与相关团队协作并推动数据产品的落地；【任职要求】1、本科以上学历，2年以上工作经验，有过互联网数据分析经验者优先；2、扎实的数据分析、数据统计理论，善于对抽象问题进行概括；3、精通Excel，熟练SQL查询等操作,熟练使用至少一种数据分析工具（R、Python、SPSS等）者优先；4、具有良好的学习能力、沟通表达能力和团队协作能力。",房产家居,A轮,2000人以上
中级大数据分析研发工程师,广东广信通信服务有限公司招聘,9k-16k,广州,经验1-3年,本科及以上,职位描述：岗位职责：1、负责运营数据开发及分析，搭建数据模型，分析业务变化趋势，用数据驱动产品改进、业务发展；2、负责数据分析体系的构建，研究及构建大数据分析、数据挖掘体系；3、深入理解产品、业务需求，通过机器学习，数据挖掘分析商业前景和商业价值，为业务的策略、产品优化提供数据支持；4、负责大数据模型和算法的开发、调试和修改，并配合研发人员实施落地；配合产品经理规划数据产品、并利用数据进行初步的可行性验证。任职要求：1、统计学、应用数学、计算机等相关专业本科及以上学历，2-3年以上数据分析工作经验；2、熟悉主流数据建模算法，如CART、随机深林、SVM、K-means等模型算法，能熟练运用Hadoop/python/spark/HIVE等获取分析所需数据，有过项目开发经验，动手能力强；3、熟悉数据仓库相关技术，如ETL、维度建模、展现、多维分析、即席查询等工具原理与技术架构；4、较强的需求分析、数据建模以及IT架构设计能力，能够完成单个业务领域的IT架构设计工作。上班时间：周一到周五8:30-17:30,"企业服务,信息安全",上市公司,500-2000人
数据分析工程师,AKULAKU招聘,15k-25k,深圳,经验1-3年,本科及以上,"职位描述：工作职责:1.根据日常业务团队的需求，提供相关数据报表与分析等；2.日常电商业务数据进行监控和分析，涵盖流量、用户、转化、复购、GMV等电商数据的分析,输出报告；3.分析APP关键指标及用户行为路径，为推动优化交易流程、页面内容、交互设计等产品优化提供数据支撑任职要求：1.1年以上数据分析工作经验,电商行业优先;2.熟练掌握SQL等相关数据提取工具，熟练操作excel、PPT等工具,擅长使用python者优先；3.优秀的商业分析思维，善于思辨，敢于决断；能够针对某项业务，完成分析课题；4.优秀的沟通能力，强大的自驱力和抗压力。","移动互联网,金融",D轮及以上,蚂蚁金服(D轮及以上)，DCM;华创(A轮)，IDG(天使轮)
数据分析,北京瑞友欧美事业部招聘,10k-16k,成都,经验3-5年,本科及以上,"职位描述：DataAnalystsdeeplyunderstandthepowerofdatatogeneratequalitycustomerinsight,manageinformationandidentifytrendstoacceleratesoundbusinessdecisions.WithintheResponsibleBankingTribe,youwillapplyyourstrongdataandtechnicalskillstosourceandinterrogatedatatoultimatelyremediateourcustomerswhenwehavegotitwrong.  Whatmightadayinthelifelooklike?Sourceandvalidatedatafromavarietyof   sources(Oracle,Teradata,BigDataplatforms[Hadoop],enterprisedata   assets,coremainframesystems)tocombine,synthesiseandanalyseto   generateinsightsDefineandconductteststovalidatethatdata   isfitforpurposeandthatremediationcalculationsarecorrectand   accurateLeverageyourknowledgeonbusinessprocess,   ANZproductanddatatoidentifytheaccountsandcalculatetherefund   owedtocustomerswhenwehavegotitwrongPerformdataanalysisinordertosupportindividual   missionsofSquadsGenerate,monitor,presentandanalyse   relevantcustomerinsights,costs,benefits,andrisksforcustomers,   clientsandcohortproducts;thiscouldincludebusinesscasing,whatif   scenariosandopportunitysizing&assessmentsSupportkeydataplatformand/ordata   schedulingjobstosupportinsightsdeliverytokeyaudiences(e.g.   frontline,othertribes)Contributetothepreventionofre-remediation   bydocumentingandcommunicatinginsightsintowhatcausescustomer   remediation’sMaturetheDataChapterinResponsibleBanking   byeducatingandcoachingpeersondataanalysttechniquesandprinciples Whatwillbeinyourtoolkit?AhealthybalanceofANZProduct(primarily   Loansand/orCards,butnotlimitedtothese)andbusinessprocess   knowledgecombinedwithsolidtechnicaldata-miningabilities‘Power-user’leveltoconsumedatain   Hadoop/BigDatatechnologies,OracleandTeradataHands-onknowledgeandexperiencewithtools   andtechniquesforanalysis,datamanipulationandpresentation(e.g.PL/SQL,   PySpark,Hive,Impalaandotherscriptingtools)Abletodefine,planandexecutetestingof   dataProvenabilitytoworkwithlargedatasets   (10’sofTB)Abilitytoeffectivelycommunicateandpresent   toallstakeholders(translatetechnicalintonon-technicalandvice-versa)Analyticalandinquisitivemindsetto   continuouslyimprovethelevelofinsightsurfacedStrongabilitytoperformstatisticaland   forensicanalysisStrongabilitytotranslatedatainsightsinto   practicalbusinessrecommendationsStrongcoaching&mentoringskillsModeratedatavisualisationskills ThingsthatIam(orstrivetobe!)AteamplayerThecustomer’sbiggestfanAcollaborationchampionComfortablebeinguncomfortableAnindependent,empowered,self-starterCommittedtomyownandother’sgrowthAproblemsolverPassionateaboutdataPassionateaboutinnovationCommerciallyandtechnicallycuriousObsessedwithqualityandaccuracyFocussed   ondeliveryContinuousimprovementjunkie",电商,上市公司,2000人以上
数据分析师-业务分析方向,贝壳招聘,20k-40k,北京,经验3-5年,本科及以上,职位描述：工作职责:1、负责贝壳平台B端tableau报表体系搭建，输出可视化分析报表；2、负责搭建数据分析指标体系和分析模型；通过分析挖掘数据等，剖析问题原因寻找业务增长驱动力，为运营策略，推动业务发展提供建议；3、对策略和活动进行数据分析和评估，并提出阶段性优化和调整建议和可执行的解决方案。任职资格:1、本科及以上学历，数学、统计学、计算机、金融、经济等相关专业优先，3年以上数据分析相关工作经验，有B端分析经验者加分；2、专业技能：精通Excel/PPT，精通SQL；统计基础知识扎实，精通tableau等；3、拥有敏锐的洞察、分析能力，严谨客观的分析态度；很强的学习能力，对工作专注、投入，有激情；4、良好的沟通表达能力和团队协作能力。,房产家居,D轮及以上,2000人以上
数据分析师,华云中盛招聘,12k-16k,深圳,经验3-5年,本科及以上,职位描述：岗位职责：1、基于成熟的可视化数据处理及分析工具配置BI数据报表门户；2、负责数据报表的数据源sql优化，提升报表加载性能；3、深入理解业务逻辑和数据逻辑，并对报表体系进行日常维护，及时发现报表门户的数据异常问题；4、基于业务方需求完成简单的数据专题分析。任职要求：1、本科及以上学历，2年及以上数据分析工作经验，有大数据平台（hive，hadoop为佳）的报表自动化开发经验；2、精通sql语言，并能对sql语句进行性能调优；3、熟悉python语言，及hdfs、hive、hbase、spark等大数据框架；4、有较好的沟通能力，工作责任心和自驱力。,"数据服务,移动互联网",不需要融资,500-2000人
数据分析师,全时招聘,12k-16k,北京,经验3-5年,本科及以上,职位描述：岗位职责 1、基于产品/运营数据和业务理解，进行BI数据报表开发与配置； 2、建立业务模型，并负责对数据流进行梳理和优化； 3、负责对接并快速响应业务需求方提出的数据需求，及时准确向需求方提供数据； 4、能从行业趋势和产品形态等角度，给出业务方向、业务模式的发展建议； 任职要求 1、本科及以上学历，计算机、数学、统计及相关专业； 2、熟悉数据库结构，熟练使用Mysql/Excel/帆软/神策等数据分析和统计分析工具 3、具有3年及以上大型互联网大数据分析经验，有互联网数据建模分析经验者优先；,"移动互联网,企业服务",D轮及以上,500-2000人
2020校招-数据分析师,叽里呱啦战略部招聘,10k-15k,上海,经验应届毕业生,本科及以上,职位描述：岗位职责：1、对海量业务数据进行抓取、处理、分析、可视化，并形成报表和报告，用数据回答业务提出的问题；2、通过理解业务、数据建模、数据挖掘等手段，提高业务决策的速度和准度3、跨部门和产品经理以及工程师合作，确保数据源的完整和准确。任职要求：1、希望你是211/985理工科本科及以上学历；2、希望你对数据敏感，有理工科专业背景；3、希望你对业务问题充满好奇心，关注细节、刨根问底；4、希望你善于与人沟通,"移动互联网,教育",B轮,红杉资本中国基金、贝塔斯曼亚洲投资基金以及挚信资本(B轮)，获得贝塔斯曼、挚信资本领投的A轮融资。(A轮)，获得基因资本、涌铧投资和林熙蕾夫妇投资的Pre-A轮融资(A轮)，获得真格基金和宝宝树共同投资(天使轮)
数据分析师,招商银行—出行易网上商城业务部招聘,12k-24k,上海,经验3-5年,本科及以上,职位描述：岗位职责：1、负责电商业务的数据采集整理工作，并更新完善各项统计报表；2、根据业务场景，建立数据模型，配合进行各类营销活动的数据跟踪，推动数据化运营；3、基于业务需求，搭建数据分析体系、用户标签体系，进行客户行为及属性分析；4、为商业策略的制定提供数据支持，不定期输出业务优化建议报告，持续提升业务运营效果；5、整理分析思路与框架，提炼数据产品需求，协助产品经理和研发团队推动数据产品的落地。岗位要求：1、全日制统招本科及以上学历，计算机、统计学等相关专业优先；2、熟练使用一种分析工具，包括但不限于Excel、VBA、SQL、SAS、SPSS、Python，了解主流数据库；3、对工作有热情，细致严谨，逻辑性强，学习能力强，工作踏实；4、有互联网行业数据分析工作经验的优先。,电商,不需要融资,150-500人
数据分析师,中冶赛迪研发中心咨询攻关组招聘,8k-16k,重庆,经验3-5年,本科及以上,职位描述：岗位职责：1、负责大数据基础平台及大数据分析的相关工作，深度理解公司产品业务方向和战略，负责数据采集、数据清洗、数据标签及数据建模；2、能够快速理解需求，并通过工具完成数据的组织工作，为系统研判提供稳定、有质量的数据架构；3、研究大数据探索前沿技术。任职要求：1、2-3年以上数据分析相关经验；2、计算机、数学等相关专业大学本科以上学历；3、具备Java、Shell、Python、R等语言研发能力；4、具备Oracle、Mysql存储过程研发能力，有较好SQL基础；5、具备Kettle等开源ETL研发经验，熟悉调度、ETL数据处理标准流程；6、熟悉SAS/R/SPSS等一种分析工具优先；7、品行端正，具有团队精神，工作积极主动；8、具备优秀的沟通和协调能力，有良好的逻辑表达能力；9、具备良好的学习能力、创新能力。,其他,不需要融资,2000人以上
数据分析师,万兴科技集团股份有限公司营销中心招聘,15k-20k,深圳,经验3-5年,本科及以上,职位描述：职责描述：1、负责公司营销业务数据分析，包括渠道数据或报告分析等；2、负责各种数据跟踪平台的数据处理方式，布局公司所有站点的跟踪代码；3、针对业务部门提供的数据问题进行数据获取、整理和分析，得出合理的结论并以报告形式呈现；4、深入发掘运营业务中的数据异常，主动分析并提供结论，推进营销业务调整和优化。任职要求：1、本科及以上学历，数学、统计及电商等相关专业；2、三年以上数据分析工作经验，熟悉数字营销行业运营工作，能独立完成过商业数据分析项目；4、熟练使用一种及以上专业数据分析工具和数据库查询操作，熟练使用GA系统；5、责任心，主动性强，有良好的沟通能力和团队合作精神；6、大学英语六级，熟练使用office办公软件等。,移动互联网,上市公司,500-2000人
数据分析师,万兴科技集团股份有限公司营销中心招聘,15k-20k,深圳,经验3-5年,本科及以上,职位描述：职责描述：1、负责公司营销业务数据分析，包括渠道数据或报告分析等；2、负责各种数据跟踪平台的数据处理方式，布局公司所有站点的跟踪代码；3、针对业务部门提供的数据问题进行数据获取、整理和分析，得出合理的结论并以报告形式呈现；4、深入发掘运营业务中的数据异常，主动分析并提供结论，推进营销业务调整和优化。任职要求：1、本科及以上学历，数学、统计及电商等相关专业；2、三年以上数据分析工作经验，熟悉数字营销行业运营工作，能独立完成过商业数据分析项目；4、熟练使用一种及以上专业数据分析工具和数据库查询操作，熟练使用GA系统；5、责任心，主动性强，有良好的沟通能力和团队合作精神；6、大学英语六级，熟练使用office办公软件等。,移动互联网,上市公司,500-2000人
数据分析工程师,字节跳动招聘,30k-60k,北京,经验不限,本科及以上,职位描述：职位职责：1、负责设计、规划和实施数据BI驱动产品功能的技术方案；2、负责设计和开发多维度的数据模型来满足数据分析产品需求；3、负责开发数据挖掘系统从海量海量数据中深入挖掘有价值的信息。职位要求：1、本科及以上学历，计算机、数据科学专业优先；2、精通SQL，R，Python等数据分析处理语言；3、熟悉hive，spark等主流大数据开发平台和工具；4、精通数理统计，数据逻辑清晰，沟通能力强，业务理解能力强；5、有一定的工程开发的基础，熟悉至少一种主流编程语言；6、有构建数据仓库、BI应用、互联网行业数据挖掘分析经验者优先；7、有海外工作经验者优先。,文娱丨内容,C轮,2000人以上
